x,y
763.032000,8E-4
764.071000,8E-4
765.111000,8E-4
766.150000,8E-4
767.190000,8E-4
768.229000,8E-4
769.269000,8E-4
770.308000,8E-4
771.347000,8E-4
772.387000,8E-4
773.426000,8E-4
774.466000,8E-4
775.505000,8E-4
776.545000,7.5E-4
777.584000,7.5E-4
778.624000,8E-4
779.663000,8E-4
780.702000,8E-4
781.742000,7.5E-4
782.781000,7E-4
783.821000,7.5E-4
784.870000,7.5E-4
785.910000,7.5E-4
786.949000,7.5E-4
787.989000,7E-4
789.028000,7.5E-4
790.067000,7E-4
791.107000,7.5E-4
792.146000,7E-4
793.186000,7E-4
794.225000,7E-4
795.265000,7E-4
796.314000,7E-4
797.364000,7E-4
798.403000,7E-4
799.442000,7E-4
800.482000,7E-4
801.521000,7E-4
802.561000,7E-4
803.610000,7E-4
804.650000,7E-4
805.689000,7E-4
806.729000,7E-4
807.768000,7E-4
808.817000,7E-4
809.857000,7E-4
810.896000,7E-4
811.936000,7E-4
812.975000,7E-4
814.015000,7E-4
815.054000,7E-4
816.094000,7E-4
817.133000,7E-4
818.183000,7E-4
819.222000,7E-4
820.271000,7E-4
821.311000,7E-4
822.360000,6E-4
823.400000,7E-4
824.439000,7E-4
825.489000,7E-4
826.538000,7E-4
827.577000,7E-4
828.617000,7E-4
829.656000,7E-4
830.706000,6E-4
831.755000,7E-4
832.805000,6.5E-4
833.844000,6E-4
834.894000,6.5E-4
835.933000,6.5E-4
836.982000,6E-4
838.032000,6.5E-4
839.071000,6.5E-4
840.111000,6.5E-4
841.150000,6.5E-4
842.190000,6E-4
843.239000,6E-4
844.289000,6E-4
845.338000,6E-4
846.387000,6E-4
847.437000,6E-4
848.476000,6E-4
849.516000,6E-4
850.555000,6E-4
851.595000,6.5E-4
852.644000,6E-4
853.684000,6E-4
854.723000,6E-4
855.762000,6E-4
856.802000,6E-4
857.851000,6E-4
858.891000,5.5E-4
859.930000,5.5E-4
860.980000,5.5E-4
862.019000,5.5E-4
863.059000,5.5E-4
864.098000,5.5E-4
865.137000,5.5E-4
866.177000,5.5E-4
867.216000,5.5E-4
868.256000,5.5E-4
869.295000,5.5E-4
870.335000,5.5E-4
871.374000,5.5E-4
872.414000,5.5E-4
873.453000,6E-4
874.492000,6E-4
875.532000,5.5E-4
876.571000,5.5E-4
877.611000,5.5E-4
878.650000,5.5E-4
879.690000,5.5E-4
880.729000,5.5E-4
881.769000,5.5E-4
882.808000,5.5E-4
883.850000,5.5E-4
884.890000,6E-4
885.929000,6E-4
886.969000,5.5E-4
888.008000,5.5E-4
889.048000,5.5E-4
890.087000,5.5E-4
891.127000,5.5E-4
892.166000,5.5E-4
893.205000,5.5E-4
894.245000,5.5E-4
895.284000,5.5E-4
896.334000,5.5E-4
897.383000,5.5E-4
898.422000,5.5E-4
899.462000,5.5E-4
900.502000,5.5E-4
901.541000,5.5E-4
902.580000,5.5E-4
903.630000,5E-4
904.669000,5.5E-4
905.719000,5.5E-4
906.758000,5.5E-4
