time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
1230.65	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1231.44	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1232.24	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.94
1233.05	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1233.86	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1234.68	29.75	31.12	32.44	33.69	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1235.51	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.94
1236.30	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1237.12	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	39.00	40.69	42.81	45.38	47.69	48.88
1237.93	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1238.75	29.75	31.12	32.44	33.75	34.88	36.06	36.88	38.00	38.94	40.69	42.81	45.44	47.69	48.88
1239.56	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1240.41	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1241.19	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1242.01	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.88
1242.81	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	38.94	40.69	42.81	45.44	47.69	48.88
1243.63	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.44	47.69	48.88
1244.47	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.94
1245.26	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.88
1246.07	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	38.94	40.69	42.81	45.38	47.69	48.94
1246.89	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1247.70	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1248.54	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1249.32	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1250.13	29.75	31.12	32.44	33.75	34.94	36.06	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1250.95	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1251.76	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1252.62	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1253.39	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1254.25	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1255.08	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1255.84	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1256.65	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1257.46	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1258.27	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1259.14	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1259.90	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1260.72	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1261.53	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1262.35	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1263.17	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1263.97	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1264.79	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1265.61	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1266.43	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1267.23	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1268.09	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1268.85	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1269.70	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1270.51	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1271.30	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1272.11	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1272.93	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1273.74	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.69	48.94
1274.56	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1275.36	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1276.22	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.69	48.94
1276.99	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1277.81	29.75	31.12	32.44	33.75	34.94	36.13	36.88	38.00	39.00	40.69	42.88	45.44	47.69	48.94
1278.62	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	48.94
1279.43	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	48.94
1280.24	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.81	45.44	47.75	48.94
1281.07	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	48.94
1281.88	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	48.94
1282.69	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.75	42.88	45.44	47.75	49.00
1283.51	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	48.94
1284.38	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	48.94
1285.13	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	49.00
1286.01	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	48.94
1286.76	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	48.94
1287.61	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1288.38	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.06	39.00	40.69	42.88	45.44	47.75	49.00
1289.20	29.75	31.12	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	49.00
1290.01	29.75	31.06	32.44	33.75	34.94	36.13	36.94	38.00	39.00	40.69	42.88	45.44	47.75	49.00
